title,year,watched,rewatched
It's a Wonderful Life,1946,,
My Darling Clementine,1946,,
Notorious,1946,,
The Best Years of Our Lives,1946,,
The Postman Always Rings Twice,1946,,
And Then There Were None,1945,,
Brief Encounter,1945,,
Detour,1945,,
Fallen Angel,1945,,
Mildred Pierce,1945,,
Spellbound,1945,,
The Clock,1945,,
Double Indemnity,1944,,
Hail the Conquering Hero,1944,,
I Walked with a Zombie,1943,,
Casablanca,1942,,
The Ox-Bow Incident,1942,,
Citizen Kane,1941,,
How Green Was My Valley,1941,,
The Maltese Falcon,1941,,
The Wolf Man,1941,,
His Girl Friday,1940,,
Pinocchio,1940,,
The Great Dictator,1940,,
The Shop Around the Corner,1940,,
Mr. Smith Goes to Washington,1939,,
Stagecoach,1939,,
The Rules of the Game,1939,,
The Story of the Last Chrysanthemum,1939,,
The Wizard of Oz,1939,,
Holiday,1938,,
The Adventures of Robin Hood,1938,,
Humanity and Paper Balloons,1937,,
Snow White and the Seven Dwarfs,1937,,
Way Out West,1937,,
Modern Times,1936,,
Swing Time,1936,,
Things to Come,1936,,
The Bride of Frankenstein,1935,,
Top Hat,1935,,
It Happened One Night,1934,,
L'Atalante,1934,,
The Thin Man,1934,,
Baby Face,1933,,
Design for Living,1933,,
Ecstasy,1933,,
Gold Diggers of 1933,1933,,
King Kong,1933,,
The Invisible Man,1933,,
The Testament of Dr. Mabuse,1933,,
Merrily We Go to Hell,1932,,
The Mummy,1932,,
White Zombie,1932,,
City Lights,1931,,
Dracula,1931,,
Limite,1931,,
M,1931,,
The Public Enemy,1931,,
Erotikon,1929,,
Shooting Stars,1928,,
Storm Over Asia,1928,,
The Crowd,1928,,
The Docks of New York,1928,,
The Passion of Joan of Arc,1928,,
Chicago,1927,,
Metropolis,1927,,
Sunrise: A Song of Two Humans,1927,,
The Unknown,1927,,
Wings,1927,,
A Page of Madness,1926,,
The Adventures of Prince Achmed,1926,,
The General,1926,,
Battleship Potemkin,1925,,
Seven Chances,1925,,
The Gold Rush,1925,,
Aelita: Queen of Mars,1924,,
"Sherlock, Jr.",1924,,
The Thief of Bagdad,1924,,
Häxan,1922,,
Nosferatu,1922,,
The Kid,1921,,
The Cabinet of Dr. Caligari,1920,,
Behind the Door,1919,,
Intolerance: Love's Struggle Throughout the Ages,1916,,
